order_id,customer_id,order_date,status
O111,C177,25-11-2025,Cancelled
O112,C030,28-11-2025,Delivered
O113,C103,01-12-2025,Delivered
O114,C162,04-12-2025,Refunded
O115,C066,07-12-2025,Shipped
O116,C135,10-12-2025,Delivered
O117,C021,13-12-2025,Delivered
O118,C086,16-12-2025,Pending
O119,C148,19-12-2025,Delivered
O120,C057,22-12-2025,Cancelled
O121,C110,25-12-2025,Delivered
O122,C026,28-12-2025,Shipped
O123,C173,02-01-2026,Delivered
O124,C100,05-01-2026,Delivered
O125,C040,08-01-2026,Refunded
O126,C131,11-01-2026,Delivered
O127,C017,14-01-2026,Pending
O128,C159,17-01-2026,Delivered
O129,C068,20-01-2026,Shipped
O130,C115,23-01-2026,Delivered
O131,C028,26-01-2026,Cancelled
O132,C181,29-01-2026,Delivered
O133,C054,01-02-2026,Delivered
O134,C106,04-02-2026,Refunded
O135,C093,07-02-2026,Shipped
O136,C121,10-02-2026,Delivered
O137,C002,13-02-2026,Delivered
O138,C143,16-02-2026,Pending
O139,C079,19-02-2026,Delivered
O140,C197,22-02-2026,Cancelled
O141,C033,25-02-2026,Delivered
O142,C128,28-02-2026,Shipped
O143,C165,03-03-2026,Delivered
O144,C062,06-03-2026,Delivered
O145,C114,09-03-2026,Refunded
O146,C022,12-03-2026,Delivered
O147,C102,15-03-2026,Pending
O148,C179,18-03-2026,Delivered
O149,C047,21-03-2026,Shipped
O150,C124,24-03-2026,Delivered
O151,C074,27-03-2026,Cancelled
O152,C189,30-03-2026,Delivered
O153,C019,02-04-2026,Delivered
O154,C130,05-04-2026,Refunded
O155,C104,08-04-2026,Shipped
O156,C142,11-04-2026,Delivered
O157,C004,14-04-2026,Delivered
O158,C117,17-04-2026,Pending
O159,C060,20-04-2026,Delivered
O160,C136,23-04-2026,Cancelled
O161,C080,26-04-2026,Delivered
O162,C195,29-04-2026,Shipped
O163,C012,02-05-2026,Delivered
O164,C168,05-05-2026,Delivered
O165,C035,08-05-2026,Refunded
O166,C159,11-05-2026,Delivered
O167,C070,14-05-2026,Pending
O168,C125,17-05-2026,Delivered
O169,C051,20-05-2026,Shipped
O170,C108,23-05-2026,Delivered
O171,C178,26-05-2026,Cancelled
O172,C090,29-05-2026,Delivered
O173,C037,01-06-2026,Delivered
O174,C150,04-06-2026,Refunded
O175,C083,07-06-2026,Shipped
O176,C140,10-06-2026,Delivered
O177,C006,13-06-2026,Delivered
O178,C133,16-06-2026,Pending
O179,C096,19-06-2026,Delivered
O180,C167,22-06-2026,Cancelled
O181,C059,25-06-2026,Delivered
O182,C123,28-06-2026,Shipped
O183,C082,01-07-2026,Delivered
O184,C192,04-07-2026,Delivered
O185,C015,07-07-2026,Refunded
O186,C111,10-07-2026,Delivered
O187,C166,13-07-2026,Pending
O188,C042,16-07-2026,Delivered
O189,C199,19-07-2026,Shipped
O190,C065,22-07-2026,Delivered
O191,C152,25-07-2026,Cancelled
O192,C200,28-07-2026,Delivered
O193,C077,31-07-2026,Delivered
O194,C108,03-08-2026,Refunded
O195,C044,06-08-2026,Shipped
O196,C159,09-08-2026,Delivered
O197,C097,12-08-2026,Pending
O198,C171,15-08-2026,Delivered
O199,C200,18-08-2026,Delivered
O200,C014,21-08-2026,Shipped
