customer_id,name,city,state,signup_date,segment
C094,Customer 94,Bengaluru,Karnataka,25-04-2025,Regular
C095,Customer 95,Chennai,Tamil Nadu,01-05-2025,Regular
C096,Customer 96,Delhi,Delhi,05-05-2025,Premium
C097,Customer 97,Kolkata,West Bengal,10-05-2025,Regular
C098,Customer 98,Ahmedabad,Gujarat,15-05-2025,Premium
C099,Customer 99,Jaipur,Rajasthan,20-05-2025,Regular
C100,Customer 100,Hyderabad,Telangana,25-05-2025,Regular
C101,Customer 101,Pune,Maharashtra,01-06-2025,Premium
C102,Customer 102,Mumbai,Maharashtra,05-06-2025,Regular
C103,Customer 103,Bengaluru,Karnataka,10-06-2025,Regular
C104,Customer 104,Chennai,Tamil Nadu,15-06-2025,Premium
C105,Customer 105,Delhi,Delhi,20-06-2025,Regular
C106,Customer 106,Kolkata,West Bengal,25-06-2025,Premium
C107,Customer 107,Ahmedabad,Gujarat,01-07-2025,Regular
C108,Customer 108,Jaipur,Rajasthan,05-07-2025,Regular
C109,Customer 109,Hyderabad,Telangana,10-07-2025,Premium
C110,Customer 110,Pune,Maharashtra,15-07-2025,Regular
C111,Customer 111,Mumbai,Maharashtra,20-07-2025,Premium
C112,Customer 112,Bengaluru,Karnataka,25-07-2025,Regular
C113,Customer 113,Chennai,Tamil Nadu,01-08-2025,Regular
C114,Customer 114,Delhi,Delhi,05-08-2025,Premium
C115,Customer 115,Kolkata,West Bengal,10-08-2025,Regular
C116,Customer 116,Ahmedabad,Gujarat,15-08-2025,Premium
C117,Customer 117,Jaipur,Rajasthan,20-08-2025,Regular
C118,Customer 118,Hyderabad,Telangana,25-08-2025,Regular
C119,Customer 119,Pune,Maharashtra,01-09-2025,Premium
C120,Customer 120,Mumbai,Maharashtra,05-09-2025,Regular
C121,Customer 121,Bengaluru,Karnataka,10-09-2025,Regular
C122,Customer 122,Chennai,Tamil Nadu,15-09-2025,Premium
C123,Customer 123,Delhi,Delhi,20-09-2025,Regular
C124,Customer 124,Kolkata,West Bengal,25-09-2025,Premium
C125,Customer 125,Ahmedabad,Gujarat,01-10-2025,Regular
C126,Customer 126,Jaipur,Rajasthan,05-10-2025,Regular
C127,Customer 127,Hyderabad,Telangana,10-10-2025,Premium
C128,Customer 128,Pune,Maharashtra,15-10-2025,Regular
C129,Customer 129,Mumbai,Maharashtra,20-10-2025,Premium
C130,Customer 130,Bengaluru,Karnataka,25-10-2025,Regular
C131,Customer 131,Chennai,Tamil Nadu,01-11-2025,Regular
C132,Customer 132,Delhi,Delhi,05-11-2025,Premium
C133,Customer 133,Kolkata,West Bengal,10-11-2025,Regular
C134,Customer 134,Ahmedabad,Gujarat,15-11-2025,Premium
C135,Customer 135,Jaipur,Rajasthan,20-11-2025,Regular
C136,Customer 136,Hyderabad,Telangana,25-11-2025,Regular
C137,Customer 137,Pune,Maharashtra,01-12-2025,Premium
C138,Customer 138,Mumbai,Maharashtra,05-12-2025,Regular
C139,Customer 139,Bengaluru,Karnataka,10-12-2025,Regular
C140,Customer 140,Chennai,Tamil Nadu,15-12-2025,Premium
C141,Customer 141,Delhi,Delhi,20-12-2025,Regular
C142,Customer 142,Kolkata,West Bengal,25-12-2025,Premium
C143,Customer 143,Ahmedabad,Gujarat,01-01-2026,Regular
C144,Customer 144,Jaipur,Rajasthan,05-01-2026,Regular
C145,Customer 145,Hyderabad,Telangana,10-01-2026,Premium
C146,Customer 146,Pune,Maharashtra,15-01-2026,Regular
C147,Customer 147,Mumbai,Maharashtra,20-01-2026,Premium
C148,Customer 148,Bengaluru,Karnataka,25-01-2026,Regular
C149,Customer 149,Chennai,Tamil Nadu,01-02-2026,Regular
C150,Customer 150,Delhi,Delhi,05-02-2026,Premium
C151,Customer 151,Kolkata,West Bengal,10-02-2026,Regular
C152,Customer 152,Ahmedabad,Gujarat,15-02-2026,Premium
C153,Customer 153,Jaipur,Rajasthan,20-02-2026,Regular
C154,Customer 154,Hyderabad,Telangana,25-02-2026,Regular
C155,Customer 155,Pune,Maharashtra,01-03-2026,Premium
C156,Customer 156,Mumbai,Maharashtra,05-03-2026,Regular
C157,Customer 157,Bengaluru,Karnataka,10-03-2026,Regular
C158,Customer 158,Chennai,Tamil Nadu,15-03-2026,Premium
C159,Customer 159,Delhi,Delhi,20-03-2026,Regular
C160,Customer 160,Kolkata,West Bengal,25-03-2026,Premium
C161,Customer 161,Ahmedabad,Gujarat,01-04-2026,Regular
C162,Customer 162,Jaipur,Rajasthan,05-04-2026,Regular
C163,Customer 163,Hyderabad,Telangana,10-04-2026,Premium
C164,Customer 164,Pune,Maharashtra,15-04-2026,Regular
C165,Customer 165,Mumbai,Maharashtra,20-04-2026,Premium
C166,Customer 166,Bengaluru,Karnataka,25-04-2026,Regular
C167,Customer 167,Chennai,Tamil Nadu,01-05-2026,Regular
C168,Customer 168,Delhi,Delhi,05-05-2026,Premium
C169,Customer 169,Kolkata,West Bengal,10-05-2026,Regular
C170,Customer 170,Ahmedabad,Gujarat,15-05-2026,Premium
C171,Customer 171,Jaipur,Rajasthan,20-05-2026,Regular
C172,Customer 172,Hyderabad,Telangana,25-05-2026,Regular
C173,Customer 173,Pune,Maharashtra,01-06-2026,Premium
C174,Customer 174,Mumbai,Maharashtra,05-06-2026,Regular
C175,Customer 175,Bengaluru,Karnataka,10-06-2026,Regular
C176,Customer 176,Chennai,Tamil Nadu,15-06-2026,Premium
C177,Customer 177,Delhi,Delhi,20-06-2026,Regular
C178,Customer 178,Kolkata,West Bengal,25-06-2026,Premium
C179,Customer 179,Ahmedabad,Gujarat,01-07-2026,Regular
C180,Customer 180,Jaipur,Rajasthan,05-07-2026,Regular
C181,Customer 181,Hyderabad,Telangana,10-07-2026,Premium
C182,Customer 182,Pune,Maharashtra,15-07-2026,Regular
C183,Customer 183,Mumbai,Maharashtra,20-07-2026,Premium
C184,Customer 184,Bengaluru,Karnataka,25-07-2026,Regular
C185,Customer 185,Chennai,Tamil Nadu,01-08-2026,Regular
C186,Customer 186,Delhi,Delhi,05-08-2026,Premium
C187,Customer 187,Kolkata,West Bengal,10-08-2026,Regular
C188,Customer 188,Ahmedabad,Gujarat,15-08-2026,Premium
C189,Customer 189,Jaipur,Rajasthan,20-08-2026,Regular
C190,Customer 190,Hyderabad,Telangana,25-08-2026,Regular
C191,Customer 191,Pune,Maharashtra,01-09-2026,Premium
C192,Customer 192,Mumbai,Maharashtra,03-09-2026,Regular
C193,Customer 193,Bengaluru,Karnataka,05-09-2026,Regular
C194,Customer 194,Chennai,Tamil Nadu,07-09-2026,Premium
C195,Customer 195,Delhi,Delhi,09-09-2026,Regular
C196,Customer 196,Kolkata,West Bengal,10-09-2026,Premium
C197,Customer 197,Ahmedabad,Gujarat,11-09-2026,Regular
C198,Customer 198,Jaipur,Rajasthan,12-09-2026,Regular
C199,Customer 199,Hyderabad,Telangana,13-09-2026,Premium
C200,Customer 200,Pune,Maharashtra,14-09-2026,Regular
